config,scenario,N,GW_Received,GW_Forwarded,GW_Dropped,GW_Dropped_HMAC,GW_Dropped_Stale,GW_Dropped_Duplicate,GW_BatteryRemaining_mJ,Cloud_TotalReceived,Cloud_AvgDelay_s,Fake_AttacksSent,energyGW_mJ,energyPerMsg_mJ,goodput_msgs_per_s
N50_Secure_freshOnly,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_hmacOnly,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_sbf,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
N50_Secure_sbf_sweep,Secure,50,5973.0,500.0,5473.0,0.0,0.0,0.0,0.0,500.0,0.000999997525982,0.0,5000.0,10.0,50.0
N5_Attack,Attack,5,51.0,48.0,3.0,3.0,3.0,3.0,4505.0,48.0,0.0010000394555833,3.0,495.0,10.3125,4.8
N5_NoSec,NoSec,5,47.0,47.0,0.0,0.0,0.0,0.0,4765.0,47.0,5.021614893617e-08,0.0,235.0,5.0,4.7
N5_Secure,Secure,5,47.0,47.0,0.0,0.0,0.0,0.0,4530.0,47.0,0.0010000502161489,0.0,470.0,10.0,4.7
NoSec20_record,NoSec,,189.0,189.0,0.0,0.0,0.0,0.0,4055.0,189.0,1.1529423280423e-08,0.0,945.0,5.0,18.9
NoSec50_record,NoSec,,474.0,474.0,0.0,0.0,0.0,0.0,2630.0,474.0,-2.8029113924051e-09,0.0,2370.0,5.0,47.4
NoSec5_record,NoSec,,47.0,47.0,0.0,0.0,0.0,0.0,4765.0,47.0,5.021614893617e-08,0.0,235.0,5.0,4.7
Scale_Attack_Bloom_m16384_N20,Attack,20,193.0,189.0,4.0,4.0,4.0,4.0,3090.0,189.0,0.001000030939619,4.0,1910.0,10.10582,18.9
Scale_Attack_Bloom_m16384_N5,Attack,5,51.0,48.0,3.0,3.0,3.0,3.0,4505.0,48.0,0.0010000394555833,3.0,495.0,10.3125,4.8
Scale_Attack_Bloom_m16384_N50,Attack,50,479.0,475.0,4.0,4.0,3.0,4.0,230.0,475.0,0.0010000098174379,4.0,4770.0,10.042105,47.5
Scale_Secure_Bloom_m16384_N20,Secure,20,189.0,189.0,0.0,0.0,0.0,0.0,3110.0,189.0,0.0010000115294233,0.0,1890.0,10.0,18.9
Scale_Secure_Bloom_m16384_N5,Secure,5,47.0,47.0,0.0,0.0,0.0,0.0,4530.0,47.0,0.0010000502161489,0.0,470.0,10.0,4.7
Scale_Secure_Bloom_m16384_N50,Secure,50,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure20_bloom,Secure,,189.0,189.0,0.0,0.0,0.0,0.0,3110.0,189.0,0.0010000115294233,0.0,1890.0,10.0,18.9
Secure20_record,Secure,,189.0,189.0,0.0,0.0,0.0,0.0,3110.0,189.0,0.0010000115294233,0.0,1890.0,10.0,18.9
Secure20_sbf,Secure,,189.0,189.0,0.0,0.0,0.0,0.0,3110.0,189.0,0.0010000115294233,0.0,1890.0,10.0,18.9
Secure50_bloom,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_dupOnly,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_dupOnly_bloom,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_freshOnly,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_hmacOnly,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_record,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure50_sbf,Secure,,474.0,474.0,0.0,0.0,0.0,0.0,260.0,474.0,0.00099999719708861,0.0,4740.0,10.0,47.4
Secure5_bloom,Secure,,47.0,47.0,0.0,0.0,0.0,0.0,4530.0,47.0,0.0010000502161489,0.0,470.0,10.0,4.7
Secure5_record,Secure,,47.0,47.0,0.0,0.0,0.0,0.0,4530.0,47.0,0.0010000502161489,0.0,470.0,10.0,4.7
Secure5_sbf,Secure,,47.0,47.0,0.0,0.0,0.0,0.0,4530.0,47.0,0.0010000502161489,0.0,470.0,10.0,4.7
