run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/secure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/nosecure_output.sca,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/nosecure_output.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,network,LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/attack_output.sca,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/attack_output.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.statistic-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,rng-class,cMersenneTwister,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,num-rngs,1,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,seed-set,123,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/Secure50_bloom-0.sca,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/Secure50_bloom-0.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.sensor[*].sendInterval,0.5s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.procDelay,1ms,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.hmacWindow,1s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.costForward_mJ,5,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.costVerify_mJ,5,
