run,type,module,name,attrname,attrvalue,value
Attack20_record-0-20250912-21:40:14-7278,config,,,sim-time-limit,10s,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/attack_output.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/attack_output.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/Attack20_record-0.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/Attack20_record-0.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.scalar-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.vector-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.statistic-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.result-recording-modes,all,
Attack20_record-0-20250912-21:40:14-7278,config,,,rng-class,cMersenneTwister,
Attack20_record-0-20250912-21:40:14-7278,config,,,num-rngs,1,
Attack20_record-0-20250912-21:40:14-7278,config,,,seed-set,123,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.scalar-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.vector-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.result-recording-modes,all,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/Attack20_record-0.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/Attack20_record-0.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.sensor[*].sendInterval,0.5s,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.sensor[*].mode,"""Secure""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.procDelay,1ms,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.hmacWindow,1s,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.costForward_mJ,5,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.costVerify_mJ,5,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.batteryInit_mJ,5000,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.securityEnabled,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.checkHmac,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.checkFreshness,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.checkDuplicate,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.duplicateMethod,"""set""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.bloomBits,16384,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.bloomHashes,3,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.sbfBits,16384,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.sbfHashes,3,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.sbfDecay,0.02,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.enabled,false,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.attackMode,1,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.replayInterval,2.5s,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.validMac,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.replayId,100000,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.replayTsUs,500000,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.dupBurstLen,4,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.dupBurstGap,200ms,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack20_record-0-20250912-21:40:14-7278,config,,,sim-time-limit,10s,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,configname,Attack20_sbf,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,datetime,20250912-21:40:14,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,datetimef,20250912-214014,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,experiment,Attack20_sbf,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,inifile,run_record.ini,
Attack20_sbf-0-20250912-21:40:14-7308,runattr,,,iterationvars,,
