run,type,module,name,attrname,attrvalue,value
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.gateway.hmacWindow,3s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack50_bloom-0-20250914-02:02:45-82759,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,ned-path,.,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,record-eventlog,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,cmdenv-express-mode,false,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,network,ned.LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/secure_output.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/secure_output.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/nosecure_output.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/nosecure_output.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,network,LightIoTNetwork,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,sim-time-limit,10s,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/attack_output.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/attack_output.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-scalar-file,results/Attack50_bloom-0.sca,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,output-vector-file,results/Attack50_bloom-0.vec,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.scalar-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.vector-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.statistic-recording,true,
Attack50_bloom-0-20250914-02:02:45-82759,config,,,**.result-recording-modes,all,
