run,repetition,module,name,value
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[35],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[36],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[37],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[38],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[39],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[40],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[41],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[42],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[43],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[44],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[45],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[46],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[47],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[48],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[49],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Received,471
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Forwarded,468
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.gateway,GW_Dropped,3
