run,type,module,name,attrname,attrvalue,vectime,vecvalue,filebase
NoSec20_record-0-20250915-22:43:51-99413,vector,LightIoTNetwork.cloud,e2eDelay_valid,,,"0.553893373813 0.581386966398 0.588723147986 0.670943690697 0.674215261592 0.700894376729 0.759094016859 0.807120253332 0.878734628903 0.9321112053 0.959353750339 0.980971808545 1.044216619641 1.066417296394 1.087171261432 1.133512081019 1.158881325298 1.179320876627 1.181792275514 1.191969704768 1.269991527009 1.309469065396 1.32154810708 1.322684763698 1.327632244909 1.345424060593 1.383394203847 1.395175880753 1.395970965689 1.410152010876 1.447143875062 1.523587850667 1.52787261107 1.544873139193 1.572898494127 1.648204167211 1.657487324206 1.681393039273 1.717768691317 1.719620516919 1.78557149407 1.795482396032 1.814213602082 1.81528061293 1.834594601882 1.881877613883 1.891240345919 1.89241036335 1.919703839882 1.939000060596 1.956758520705 1.987120574387 2.00157601831 2.009949953017 2.063125590352 2.102334250138 2.152677092026 2.1664559745 2.179309979477 2.263685404905 2.265548454574 2.26886833841 2.270189747354 2.274390919856 2.342990386696 2.345807343279 2.357912886189 2.386768476456 2.404513378138 2.417602501368 2.448948432947 2.452182336664 2.476523405197 2.557327266434 2.590120870481 2.62876395092 2.631939184922 2.657808113541 2.671914833435 2.729511498567 2.751299935603 2.792646036599 2.809169991291 2.812848448381 2.862462626584 2.863270006678 2.865866769221 2.869902899745 2.914435158832 2.936592268921 2.981640370027 2.984675429714 2.990976104187 3.048355270643 3.079881728744 3.147492222745 3.155288764718 3.169452118106 3.17530059556 3.235508841323 3.257337235217 3.297525987378 3.306331101945 3.320913929888 3.323757496709 3.333514314819 3.334619834391 3.347427828983 3.411888761841 3.440344253043 3.467764094239 3.490599552401 3.52017717131 3.523420081986 3.544481742453 3.61690900745 3.64368749233 3.687245680462 3.71588945468 3.728292952432 3.763638560567 3.768739900878 3.786474319547 3.788416413102 3.812519730813 3.840439019702 3.843149375077 3.846562305534 3.891292096464 3.938015549095 3.998559232173 4.002862869063 4.007445844891 4.016067802162 4.030986668075 4.096538188099 4.121045480623 4.164412121685 4.169425602397 4.254603977246 4.288971171201 4.292008094048 4.300983924768 4.301882494521 4.329866692564 4.334204275021 4.345304054091 4.354314676671 4.387522441335 4.427260524221 4.466755783931 4.477386400779 4.507874604291 4.525419895607 4.542903161653 4.5767551461 4.642880455918 4.65491239396 4.67622737335 4.75601397364 4.759177583317 4.774713025755 4.801609942829 4.826473759859 4.830867215245 4.841953746648 4.859049790492 4.867949696165 4.872465574833 4.940315051074 4.973575019161 4.994270530877 5.002110012086 5.003113751695 5.022550940537 5.038138147932 5.145756329341 5.164089038713 5.175056710466 5.233795851842 5.234450398177 5.289371609549 5.313009893684 5.31358680753 5.317443985142 5.319343100604 5.360353101789 5.409940062557 5.418055838624 5.429937961488 5.448907291353 5.508219438161 5.536919929576 5.540854096971 5.542084617122 5.567939085327 5.642190742771 5.675291249716 5.677218501946 5.689470468137 5.716095909453 5.743360173843 5.776029756036 5.816116363159 5.819927253829 5.843545315367 5.846297887177 5.911849643639 5.944915371575 5.951908834161 5.956115888779 5.995092449314 6.014990869375 6.037349027463 6.082478292123 6.109441252262 6.139561869951 6.139572452101 6.143324808405 6.189094037656 6.198357907335 6.224435008342 6.318931605387 6.33594471102 6.361998677998 6.363365806802 6.364915490616 6.379535733419 6.435690214972 6.444690048856 6.452877717 6.503018121515 6.522879011464 6.58076092575 6.593863266193 6.601519497134 6.618573969325 6.630139705306 6.650146832016 6.736319289194 6.74123873315 6.758924840485 6.796755648543 6.815747371246 6.825711857853 6.865700741601 6.880066490895 6.889053912787 6.957118163093 6.978685854143 6.981687051475 7.00603324126 7.026791155735 7.119077566102 7.122536134929 7.126044823324 7.129052071318 7.138559412118 7.157811103157 7.206918102062 7.252267554729 7.270995786436 7.301110258886 7.337401868822 7.341473855521 7.343903479329 7.346475906647 7.352198605728 7.485512999935 7.494009889265 7.505262373435 7.519701362329 7.528218060895 7.594606354671 7.614490806776 7.619794390419 7.621122365142 7.665661707334 7.679645472789 7.714897552041 7.729663009081 7.774847136414 7.798676065054 7.812508734828 7.839143864368 7.848601065344 7.870824383781 7.876007021056 7.968876529879 7.984526008065 7.984768674384 8.009334540461 8.053586613804 8.07401265565 8.105545590444 8.138733037933 8.150039807287 8.160100814118 8.211042577565 8.217732678634 8.221495082905 8.251525888568 8.269222795521 8.319168162905 8.332786828513 8.337292528083 8.34591970502 8.409527166979 8.432104692001 8.47210354868 8.501152207842 8.515959322663 8.55590591505 8.567258891744 8.583977631198 8.60434153513 8.610127166471 8.660925533203 8.68259538631 8.697352149548 8.720769119543 8.745883844234 8.775426981341 8.784197987267 8.797866444546 8.858395030793 8.861566765584 8.911342230672 8.954496035886 8.970193080231 9.011719311053 9.021914879347 9.035970073055 9.040690185457 9.073168844124 9.098371127222 9.12294174081 9.160402638325 9.174723443762 9.185856668862 9.209024637263 9.28434513274 9.291864604806 9.314414473763 9.321745531331 9.327570173262 9.330192153879 9.412150487443 9.419550813616 9.445388379902 9.497091929682 9.506149227849 9.509362800327 9.559233245255 9.560374506817 9.607368231401 9.629375431219 9.66026653808 9.674365419104 9.681953966269 9.706354059652 9.743643339839 9.761929538753 9.798064895232 9.807393519092 9.82601818368 9.830276563345 9.919429182005 9.932164415994 9.956207644355 9.960758938407","3.73813e-07 -3.3602e-08 1.47986e-07 -3.09303e-07 2.61592e-07 3.76729e-07 1.6859e-08 2.53332e-07 -3.71097e-07 2.053e-07 -2.49661e-07 -1.91455e-07 -3.80359e-07 2.96394e-07 2.61432e-07 8.1019e-08 3.25298e-07 -1.23373e-07 2.75514e-07 -2.95232e-07 -4.72991e-07 6.5396e-08 1.0708e-07 -2.36302e-07 2.44909e-07 6.0593e-08 2.03847e-07 -1.19247e-07 -3.4311e-08 1.0876e-08 -1.24938e-07 -1.49333e-07 -3.8893e-07 1.39193e-07 4.94127e-07 1.67211e-07 3.24206e-07 3.9273e-08 -3.08683e-07 -4.83081e-07 4.9407e-07 3.96032e-07 -3.97918e-07 -3.8707e-07 -3.98118e-07 -3.86117e-07 3.45919e-07 3.6335e-07 -1.60118e-07 6.0596e-08 -4.79295e-07 -4.25613e-07 1.831e-08 -4.6983e-08 -4.09648e-07 2.50138e-07 9.2026e-08 -2.55e-08 -2.0523e-08 4.04905e-07 4.54574e-07 3.3841e-07 -2.52646e-07 -8.0144e-08 3.86696e-07 3.43279e-07 -1.13811e-07 4.76456e-07 3.78138e-07 -4.98632e-07 4.32947e-07 3.36664e-07 4.05197e-07 2.66434e-07 -1.29519e-07 -4.908e-08 1.84922e-07 1.13541e-07 -1.66565e-07 4.98567e-07 -6.4397e-08 3.6599e-08 -8.709e-09 4.48381e-07 -3.73416e-07 6.678e-09 -2.30779e-07 -1.00255e-07 1.58832e-07 2.68921e-07 3.70027e-07 4.29714e-07 1.04187e-07 2.70643e-07 -2.71256e-07 2.22745e-07 -2.35282e-07 1.18106e-07 -4.0444e-07 -1.58677e-07 2.35217e-07 -1.2622e-08 1.01945e-07 -7.0112e-08 4.96709e-07 3.14819e-07 -1.65609e-07 -1.71017e-07 -2.38159e-07 2.53043e-07 9.4239e-08 -4.47599e-07 1.7131e-07 8.1986e-08 -2.57547e-07 7.45e-09 4.9233e-07 -3.19538e-07 4.5468e-07 -4.7568e-08 -4.39433e-07 -9.9122e-08 3.19547e-07 4.13102e-07 -2.69187e-07 1.9702e-08 3.75077e-07 3.05534e-07 9.6464e-08 -4.50905e-07 2.32173e-07 -1.30937e-07 -1.55109e-07 -1.97838e-07 -3.31925e-07 1.88099e-07 4.80623e-07 1.21685e-07 -3.97603e-07 -2.2754e-08 1.71201e-07 9.4048e-08 -7.5232e-08 4.94521e-07 -3.07436e-07 2.75021e-07 5.4091e-08 -3.23329e-07 4.41335e-07 -4.75779e-07 -2.16069e-07 4.00779e-07 -3.95709e-07 -1.04393e-07 1.61653e-07 1.461e-07 4.55918e-07 3.9396e-07 3.7335e-07 -2.636e-08 -4.16683e-07 2.5755e-08 -5.7171e-08 -2.40141e-07 2.15245e-07 -2.53352e-07 -2.09508e-07 -3.03835e-07 -4.25167e-07 5.1074e-08 1.9161e-08 -4.69123e-07 1.2086e-08 -2.48305e-07 -5.9463e-08 1.47932e-07 3.29341e-07 3.8713e-08 -2.89534e-07 -1.48158e-07 3.98177e-07 -3.90451e-07 -1.06316e-07 -1.9247e-07 -1.4858e-08 1.00604e-07 1.01789e-07 6.2557e-08 -1.61376e-07 -3.8512e-08 2.91353e-07 4.38161e-07 -7.0424e-08 9.6971e-08 -3.82878e-07 8.5327e-08 -2.57229e-07 2.49716e-07 -4.98054e-07 4.68137e-07 -9.0547e-08 1.73843e-07 -2.43964e-07 3.63159e-07 2.53829e-07 3.15367e-07 -1.12823e-07 -3.56361e-07 3.71575e-07 -1.65839e-07 -1.11221e-07 4.49314e-07 -1.30625e-07 2.7463e-08 2.92123e-07 2.52262e-07 -1.30049e-07 4.52101e-07 -1.91595e-07 3.7656e-08 -9.2665e-08 8.342e-09 -3.94613e-07 -2.8898e-07 -3.22002e-07 -1.93198e-07 4.90616e-07 -2.66581e-07 2.14972e-07 4.8856e-08 -2.83e-07 1.21515e-07 1.1464e-08 -7.425e-08 2.66193e-07 4.97134e-07 -3.0675e-08 -2.94694e-07 -1.67984e-07 2.89194e-07 -2.6685e-07 -1.59515e-07 -3.51457e-07 3.71246e-07 -1.42147e-07 -2.58399e-07 4.90895e-07 -8.7213e-08 1.63093e-07 -1.45857e-07 5.1475e-08 2.4126e-07 1.55735e-07 -4.33898e-07 1.34929e-07 -1.76676e-07 7.1318e-08 4.12118e-07 1.03157e-07 1.02062e-07 -4.45271e-07 -2.13564e-07 2.58886e-07 -1.31178e-07 -1.44479e-07 4.79329e-07 -9.3353e-08 -3.94272e-07 -6.5e-11 -1.10735e-07 3.73435e-07 3.62329e-07 6.0895e-08 3.54671e-07 -1.93224e-07 3.90419e-07 3.65142e-07 -2.92666e-07 4.72789e-07 -4.47959e-07 9.081e-09 1.36414e-07 6.5054e-08 -2.65172e-07 -1.35632e-07 6.5344e-08 3.83781e-07 2.1056e-08 -4.70121e-07 8.065e-09 -3.25616e-07 -4.59539e-07 -3.86196e-07 -3.4435e-07 -4.09556e-07 3.7933e-08 -1.92713e-07 -1.85882e-07 -4.22435e-07 -3.21366e-07 8.2905e-08 -1.11432e-07 -2.04479e-07 1.62905e-07 -1.71487e-07 -4.71917e-07 -2.9498e-07 1.66979e-07 -3.07999e-07 -4.5132e-07 2.07842e-07 3.22663e-07 -8.495e-08 -1.08256e-07 -3.68802e-07 -4.6487e-07 1.66471e-07 -4.66797e-07 3.8631e-07 1.49548e-07 1.19543e-07 -1.55766e-07 -1.8659e-08 -1.2733e-08 4.44546e-07 3.0793e-08 -2.34416e-07 2.30672e-07 3.5886e-08 8.0231e-08 3.11053e-07 -1.20653e-07 7.3055e-08 1.85457e-07 -1.55876e-07 1.27222e-07 -2.5919e-07 -3.61675e-07 4.43762e-07 -3.31138e-07 -3.62737e-07 1.3274e-07 -3.95194e-07 4.73763e-07 -4.68669e-07 1.73262e-07 1.53879e-07 4.87443e-07 -1.86384e-07 3.79902e-07 -7.0318e-08 2.27849e-07 -1.99673e-07 2.45255e-07 -4.93183e-07 2.31401e-07 4.31219e-07 -4.6192e-07 4.19104e-07 -3.3731e-08 5.9652e-08 3.39839e-07 -4.61247e-07 -1.04768e-07 -4.80908e-07 1.8368e-07 -4.36655e-07 1.82005e-07 4.15994e-07 -3.55645e-07 -6.1593e-08",NoSec20_record_s103
NoSec20_record-0-20250915-22:43:51-99413,vector,LightIoTNetwork.cloud,e2eDelay_debug,,,"0.553893373813 0.581386966398 0.588723147986 0.670943690697 0.674215261592 0.700894376729 0.759094016859 0.807120253332 0.878734628903 0.9321112053","3.73813e-07 -3.3602e-08 1.47986e-07 -3.09303e-07 2.61592e-07 3.76729e-07 1.6859e-08 2.53332e-07 -3.71097e-07 2.053e-07",NoSec20_record_s103
run,type,module,name,attrname,attrvalue,vectime,vecvalue,filebase
Attack50_record-0-20250915-22:43:51-99451,runattr,,,configname,Attack50_record,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,datetime,20250915-22:43:51,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,datetimef,20250915-224351,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,experiment,Attack50_record,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,inifile,run_record.ini,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,iterationvars,,,,Attack50_record_s104
Attack50_record-0-20250915-22:43:51-99451,runattr,,,iterationvarsd,,,,Attack50_record_s104
