run,repetition,module,name,value,filebase
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,bloomFP,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,bloomCallsPerK,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,energyGW_mJ,1025,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,energyPerMsg_mJ,10.904255319149,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,workAvg_units,2.8468468468468,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,workH_count,111,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,workF_count,111,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,workB_count,94,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,stageOrderId,1,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,mismatchCounter,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.cloud,Cloud_TotalReceived,94,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,0.021097482282372,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,20,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,20,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,16,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.fakeNode,Fake_Bursts,4,Attack5_record_s102
run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,totalAccepted,92,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,totalDroppedHmac,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,totalDroppedReplay,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,totalDroppedDup,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,goodput,9.2,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,bloomFP,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,bloomCallsPerK,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,energyGW_mJ,460,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,energyPerMsg_mJ,5,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,workAvg_units,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,workH_count,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,workF_count,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,workB_count,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,stageOrderId,1,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.gateway,mismatchCounter,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.cloud,Cloud_TotalReceived,92,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,5.6216630434783e-09,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,0,NoSec5_record_s105
NoSec5_record-0-20250915-22:43:51-99452,0,LightIoTNetwork.fakeNode,Fake_Bursts,0,NoSec5_record_s105
run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4600,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4600,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,totalAccepted,95,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,totalDroppedHmac,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,totalDroppedReplay,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,totalDroppedDup,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,goodput,9.5,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,bloomFP,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,bloomCallsPerK,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,energyGW_mJ,475,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,energyPerMsg_mJ,5,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,workAvg_units,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,workH_count,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,workF_count,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,workB_count,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,stageOrderId,1,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.gateway,mismatchCounter,0,NoSec5_record_s104
NoSec5_record-0-20250915-22:43:51-99423,0,LightIoTNetwork.cloud,Cloud_TotalReceived,95,NoSec5_record_s104
